用户id,是否付费,注册至今距离天数,最后一周登陆天数,最后一周登陆次数,最后一周0-8点登陆次数,最后一周8-18点登陆次数,最后一周18-24点登陆次数
971,0,6,6,65,13,42,10
972,0,7,1,3,0,2,1
973,0,7,1,1,0,1,0
974,0,7,7,68,9,44,15
975,0,7,3,3,0,3,0
976,0,1,1,1,0,1,0
977,0,1,1,1,0,1,0
978,0,6,1,1,0,0,1
979,0,5,2,3,0,2,1
980,0,7,1,1,0,1,0
981,0,1,1,1,1,0,0
982,0,7,3,3,0,3,0
983,0,4,4,5,0,0,5
984,0,7,1,1,0,1,0
985,0,6,6,13,3,5,5
986,0,2,1,1,0,1,0
987,0,7,5,6,0,6,0
988,0,7,5,8,0,8,0
989,0,7,5,22,6,11,5
990,0,7,7,83,16,46,21
991,0,2,2,12,2,8,2
992,0,7,7,92,30,39,23
993,0,3,3,10,2,5,3
994,0,6,3,4,1,3,0
995,0,1,1,4,1,3,0
996,0,5,4,18,1,9,8
997,0,4,4,27,7,15,5
998,0,7,7,46,15,16,15
999,0,7,5,6,0,6,0
1000,0,2,2,13,2,6,5
